Title,Author,Genre,Rating
Harry Potter,J.K. Rowling,Fantasy,4.9
The Hobbit,J.R.R. Tolkien,Fantasy,4.8
The Lord of the Rings,J.R.R. Tolkien,Fantasy,4.9
Percy Jackson,Rick Riordan,Fantasy,4.7
Eragon,Christopher Paolini,Fantasy,4.5
Sherlock Holmes,Arthur Conan Doyle,Mystery,4.8
The Da Vinci Code,Dan Brown,Mystery,4.6
Gone Girl,Gillian Flynn,Mystery,4.5
Big Little Lies,Liane Moriarty,Mystery,4.4
The Silent Patient,Alex Michaelides,Mystery,4.6
Dune,Frank Herbert,Science Fiction,4.8
Foundation,Isaac Asimov,Science Fiction,4.7
Ender's Game,Orson Scott Card,Science Fiction,4.6
The Martian,Andy Weir,Science Fiction,4.8
Neuromancer,William Gibson,Science Fiction,4.5
Pride and Prejudice,Jane Austen,Romance,4.8
The Notebook,Nicholas Sparks,Romance,4.5
Me Before You,Jojo Moyes,Romance,4.6
Twilight,Stephenie Meyer,Romance,4.2
The Fault in Our Stars,John Green,Romance,4.7
Atomic Habits,James Clear,Self Help,4.9
Rich Dad Poor Dad,Robert Kiyosaki,Self Help,4.7
Think and Grow Rich,Napoleon Hill,Self Help,4.6
The Power of Habit,Charles Duhigg,Self Help,4.7
Deep Work,Cal Newport,Self Help,4.8
Steve Jobs,Walter Isaacson,Biography,4.7
Wings of Fire,A.P.J. Abdul Kalam,Biography,4.9
Long Walk to Freedom,Nelson Mandela,Biography,4.8
Becoming,Michelle Obama,Biography,4.7
Elon Musk,Walter Isaacson,Biography,4.6
Sapiens,Yuval Noah Harari,History,4.9
Guns Germs and Steel,Jared Diamond,History,4.7
The Silk Roads,Peter Frankopan,History,4.6
1776,David McCullough,History,4.5
Team of Rivals,Doris Kearns Goodwin,History,4.7
The Alchemist,Paulo Coelho,Fiction,4.8
To Kill a Mockingbird,Harper Lee,Fiction,4.9
1984,George Orwell,Fiction,4.8
Animal Farm,George Orwell,Fiction,4.7
The Catcher in the Rye,J.D. Salinger,Fiction,4.4
Clean Code,Robert C. Martin,Technology,4.8
Python Crash Course,Eric Matthes,Technology,4.7
Automate the Boring Stuff,Al Sweigart,Technology,4.8
Learning Python,Mark Lutz,Technology,4.6
The Pragmatic Programmer,Andrew Hunt,Technology,4.9
Think Like a Monk,Jay Shetty,Motivation,4.7
You Can Win,Shiv Khera,Motivation,4.6
The Magic of Thinking Big,David Schwartz,Motivation,4.7
Ikigai,Hector Garcia,Motivation,4.8
Can't Hurt Me,David Goggins,Motivation,4.9
